dtm;MIP;Solar_MW;Solar_capacity_mwp;Solar_installedcapacity_mwp;Wind_MW;SS_Price;boa_MWh;DA_Price
2020-09-20T00:00:00Z;20.06;0;2130.5374935;2228.2087765;996.284;2.5;0;32.17
2020-09-20T00:30:00Z;19.77;0;2130.5374935;2228.2087765;957.576;15;0;32.17
2020-09-20T01:00:00Z;28.68;0;2130.5374935;2228.2087765;941.044;47.95;0;32
2020-09-20T01:30:00Z;28.97;0;2130.5374935;2228.2087765;964.366;29.13;0;32
2020-09-20T02:00:00Z;28.19;0;2130.5374935;2228.2087765;918.432;28.95;0;31.99
2020-09-20T02:30:00Z;28.24;0;2130.5374935;2228.2087765;939.194;29.09013;0;31.99
2020-09-20T03:00:00Z;28.5;0;2130.5374935;2228.2087765;978.682;30.9;0;32.54
2020-09-20T03:30:00Z;29.18;0;2130.5374935;2228.2087765;989.786;34.4;0;32.54
2020-09-20T04:00:00Z;24;0;2130.5374935;2228.2087765;1002.902;29;0;32.28
2020-09-20T04:30:00Z;33.68;0;2130.5374935;2228.2087765;1001.324;28.9;0;32.28
2020-09-20T05:00:00Z;35.89;0;2130.5374935;2228.2087765;990.988;28.62;0;32.79
2020-09-20T05:30:00Z;32.88;0.00022431394;2130.5374935;2228.2087765;1001.346;29;0;32.79
2020-09-20T06:00:00Z;31.61;33.0588642;2130.5374935;2228.2087765;987.896;53;0;36
2020-09-20T06:30:00Z;34.91;90.113934;2130.5374935;2228.2087765;952.51;53;0;36
2020-09-20T07:00:00Z;30.59;148.539048;2130.5374935;2228.2087765;924.244;30.46;0;45
2020-09-20T07:30:00Z;34.65;332.297825;2130.5374935;2228.2087765;856.76;31.09;0;45
2020-09-20T08:00:00Z;41.77;513.89446;2130.5374935;2228.2087765;758.476;29.5;0;43.6
2020-09-20T08:30:00Z;41.89;718.240617;2130.5374935;2228.2087765;664.324;29.04;0;43.6
2020-09-20T09:00:00Z;39.98;882.29086;2130.5374935;2228.2087765;586.174;31.67;0;48.17
2020-09-20T09:30:00Z;39.89;1072.020924;2130.5374935;2228.2087765;500.728;49.5;0;48.17
2020-09-20T10:00:00Z;43.26;1285.8563;2130.5374935;2228.2087765;472.402;49.5;0;50
2020-09-20T10:30:00Z;43.97;1246.05017;2130.5374935;2228.2087765;446.86;49.5;0;50
2020-09-20T11:00:00Z;44.7;1310.1927;2130.5374935;2228.2087765;408.89;49.5;0;47
2020-09-20T11:30:00Z;44.68;1356.93805;2130.5374935;2228.2087765;452.308;32.92;0;47
2020-09-20T12:00:00Z;40.71;1289.53164;2130.5374935;2228.2087765;468.964;26.23;0;42
2020-09-20T12:30:00Z;36.87;1191.91125;2130.5374935;2228.2087765;447.838;18.18;0;42
2020-09-20T13:00:00Z;35.31;1207.95334;2130.5374935;2228.2087765;404.074;23.88;0;37.67
2020-09-20T13:30:00Z;32.17;1075.92497;2130.5374935;2228.2087765;355.21;2.75;0;37.67
2020-09-20T14:00:00Z;26.83;913.98582;2130.5374935;2228.2087765;358.518;19.7;0;45
2020-09-20T14:30:00Z;29.11;815.830767;2130.5374935;2228.2087765;365.404;27.5904;0;45
2020-09-20T15:00:00Z;28.88;633.217961;2130.5374935;2228.2087765;345.108;30;0;49.4
2020-09-20T15:30:00Z;36.22;433.152687;2130.5102003;2228.20874;293.734;59.95;0;49.4
2020-09-20T16:00:00Z;46.13;253.658493;2130.5102003;2228.20874;244.708;59.95;0;55.9
2020-09-20T16:30:00Z;51.35;122.398824;2130.5102003;2228.20874;244.572;68.95;0;55.9
2020-09-20T17:00:00Z;54.13;45.2332194;2130.5102003;2228.20874;295.644;59.95;0;59.3
2020-09-20T17:30:00Z;55.3;6.83549066;2130.5102003;2228.20874;273.22;59.95;0;59.3
2020-09-20T18:00:00Z;53.56;8.709351e-05;2130.5102003;2228.20874;277.02;59.95;0;51.48
2020-09-20T18:30:00Z;55.14;0;2130.5102003;2228.20874;268.376;59.95;0;51.48
2020-09-20T19:00:00Z;54.49;0;2130.5102003;2228.20874;253.026;59.95;0;43.12
2020-09-20T19:30:00Z;51.48;0;2130.5102003;2228.20874;207.45;48;0;43.12
2020-09-20T20:00:00Z;42.84;0;2130.5102003;2228.20874;188.386;48;0;37.41
2020-09-20T20:30:00Z;39.42;0;2130.5102003;2228.20874;190.22;48;0;37.41
2020-09-20T21:00:00Z;42.87;0;2130.5102003;2228.20874;170.464;48;0;34.93
2020-09-20T21:30:00Z;36.1;0;2130.5102003;2228.20874;142.092;15;0;34.93
2020-09-20T22:00:00Z;24.56;0;2130.5102003;2228.20874;132.228;2;0;33.27
2020-09-20T22:30:00Z;22.37;0;2130.5102003;2228.20874;130.114;21;0;33.27
2020-09-20T23:00:00Z;26.76;0;2130.5100893;2228.20874;131.008;16;0;33.3
2020-09-20T23:30:00Z;24.87;0;2130.5100893;2228.20874;113.63;24.87;0;33.3
2020-09-21T00:00:00Z;26.2;0;2130.5100893;2228.20874;95.558;47.3;0;31.02
2020-09-21T00:30:00Z;29.27;0;2130.5100893;2228.20874;75.574;29.27;0;31.02
2020-09-21T01:00:00Z;29.66;0;2130.5100893;2228.20874;49.818;29.66;0;30.03
2020-09-21T01:30:00Z;28.52;0;2130.5100893;2228.20874;21.114;28.52;0;30.03
2020-09-21T02:00:00Z;30.86;0;2130.5100893;2228.20874;1.892;46.5;0;36.95
2020-09-21T02:30:00Z;28.85;0;2130.5100893;2228.20874;0;28.85;0;36.95
2020-09-21T03:00:00Z;32.73;0;2130.5100893;2228.20874;0;43.29006;0;45.76
2020-09-21T03:30:00Z;31.37;0;2130.5100893;2228.20874;0;43.29006;0;45.76
2020-09-21T04:00:00Z;40.52;0;2130.5100893;2228.20874;0;54.22;0;52.1
2020-09-21T04:30:00Z;33.91;0;2130.5100893;2228.20874;0;20.5;0;52.1
2020-09-21T05:00:00Z;29.19;0;2130.5100893;2228.20874;0;2;0;75.86
2020-09-21T05:30:00Z;33.21;0.00027381225;2130.5100893;2228.20874;0;15;0;75.86
2020-09-21T06:00:00Z;35.76;27.91135745;2130.5100893;2228.20874;0;15;0;67.43
2020-09-21T06:30:00Z;42.68;83.48280146;2130.5100893;2228.20874;0;25;0;67.43
2020-09-21T07:00:00Z;39.7;177.833576264;2130.5100893;2228.20874;0;69;0;61.06
2020-09-21T07:30:00Z;45.54;273.3077024;2130.5100893;2228.20874;0;46.4;0;61.06
2020-09-21T08:00:00Z;41.65;395.845053;2130.5100893;2228.20874;0;22.5;0;62.37
