MTU (UTC),Hour,POWER,Expected,q0,q5,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,ZONEID,tclw,tciw,SP,r,TCC,10u,10V,2T,SSRD,STRD,TSR,TP,POWER,Day-ahead Price [EUR/MWh],+ Imbalance Price [EUR/MWh] - MBA|ES,- Imbalance Price [EUR/MWh] - MBA|ES,Total Imbalance [MWh] - MBA|ES,Direction,Penalty,Pen_up,Pen_down,Day-ahead Price [EUR/MWh]_Forecast,Pen_up_Forecast,Pen_down_Forecast,Direction_Forecast,tau
5/30/2018 10:00,10,0.519166667,0.191439204,0.066188248,0.077841025,0.094086752,0.099912308,0.104963675,0.117790171,0.11992282,0.123154701,0.13375,0.149894872,0.154722222,0.169169872,0.176261539,0.197030769,0.218846154,0.232730769,0.274294872,0.309601496,0.348465705,0.485761538,1,0.051574707,0.007902279,95602.5,78.2303009,1.000006676,3.889263153,-2.735102654,286.3273926,7150089,27779120,9791163,0.001937866,0.519166667,67.16,67.16,72.19,1986,0,5.03,5.03,0,66.24474335,1.889103413,0.995396674,0.129682183,0.779551638
5/30/2018 11:00,11,0.395641026,0.55539351,0.190323718,0.23916859,0.312577565,0.334037607,0.421091026,0.456571795,0.489726709,0.521447009,0.548139102,0.577900641,0.602541239,0.627270513,0.650971902,0.665867628,0.684173718,0.696628205,0.710715064,0.720125,0.737897756,0.760608975,1,0.024589539,0.007274628,95566.125,69.49481201,0.533233643,2.795084953,-2.410322189,288.2058105,1412373,1129017,1701585,0,0.395641026,66.79,66.79,71.85,2204,0,5.06,5.06,0,66.21199799,4.594685555,0.995396674,0.125893235,0.600669157
5/30/2018 12:00,12,0.303525641,0.426327804,0.14948077,0.227809615,0.258053419,0.273048718,0.293665705,0.324997436,0.355564103,0.366282051,0.386986859,0.39321218,0.410938248,0.43387094,0.445325641,0.463175641,0.487142094,0.529337607,0.576698611,0.608817949,0.632537179,0.682479487,1,0.037078857,0.003108978,95488.4375,65.80107117,0.836730957,4.57740593,-3.77447319,289.2736816,2968509,2333610,3577523,0,0.303525641,66.26,66.26,69.05,1571,0,2.79,2.79,0,65.54387665,4.387115002,0.995396674,0.12363217,0.616611261
5/30/2018 13:00,13,0.288461538,0.55797246,0.229819872,0.35588718,0.418539103,0.467620085,0.494857692,0.523539957,0.543242094,0.556024786,0.568752564,0.578121047,0.589353846,0.601860684,0.606121795,0.612433334,0.621301603,0.624084487,0.637788462,0.65034359,0.656142308,0.680687179,1,0.017059326,0.000249863,95405.375,65.2361908,0.479705811,4.596636772,-3.547297478,289.3652344,4258089,3560015,5236131,0,0.288461538,65.95,61.41,65.95,-121,1,4.54,0,4.54,64.95456696,2.664073467,0.995396674,0.122169606,0.728608243
5/30/2018 14:00,14,0.289230769,0.398467468,0.17307532,0.236088782,0.262983333,0.279476923,0.318375,0.333481838,0.35017094,0.371517949,0.384290492,0.400641026,0.409315171,0.422494872,0.43208344,0.441991026,0.45093718,0.470673077,0.475197329,0.499955342,0.533376069,0.551653846,1,0.042602539,0.00030899,95330.9375,63.30603027,0.473937988,4.582933426,-3.028612137,289.5559082,5415075,4825774,6743759,0,0.289230769,65.69,58.54,65.69,-449,1,7.15,0,7.15,64.72626495,0.698055983,3.553215742,0.585765183,0.78258984
5/30/2018 15:00,15,0.227948718,0.293410246,0.141847543,0.153295513,0.181009402,0.201025641,0.217115385,0.227198291,0.251199359,0.259273504,0.266698718,0.279519231,0.287676923,0.306682906,0.320897436,0.334073932,0.361153846,0.365534188,0.3831125,0.395059231,0.404252137,0.423247436,1,0.03061676,0,95258.5625,61.77255249,0.660980225,3.764816284,-2.579663277,289.5041504,6359755,6008002,7967278,0,0.227948718,64.97,52.83,64.97,-499,1,12.14,0,12.14,64.55664825,0.608289599,5.164824963,0.677179813,0.801887622
5/30/2018 16:00,16,0.093397436,0.163645916,0.079688782,0.09723782,0.115723398,0.119395727,0.127587981,0.136398932,0.144952564,0.153648718,0.159651282,0.16474359,0.170769231,0.176064103,0.180929487,0.186613675,0.191282051,0.19402094,0.196762821,0.202181624,0.20650641,0.223269231,1,0.007446289,0,95242.125,64.89517212,0.112548828,1.972141266,-1.628195763,288.9038086,6832830,7243316,8670946,0,0.093397436,65.15,58.97,65.15,-598,1,6.18,0,6.18,63.84236526,0.671741366,8.373948097,0.708507121,0.836834708
5/30/2018 17:00,17,0.019294872,0.028520866,0.014063782,0.017481624,0.017532052,0.019055128,0.019134616,0.019679488,0.02073718,0.021282052,0.022892564,0.023741026,0.024818163,0.025608975,0.026974145,0.027832693,0.029502992,0.031208974,0.034006411,0.037540385,0.045925855,0.062278632,1,0.006286621,0,95249.25,72.80116272,0.08505249,1.654652596,-1.501109123,285.2712402,6971409,8315876,8908537,0,0.019294872,65.79,56.28,65.79,-724,1,9.51,0,9.51,64.64527893,0.646518826,5.053779602,0.728907526,0.744064542
5/30/2018 18:00,18,6.41E-05,0.002323899,6.41E-05,6.41E-05,0.000128204,0.000128204,0.000128204,0.000192308,0.000235041,0.000277777,0.000320512,0.000320512,0.000384616,0.000573076,0.000871366,0.001054273,0.001573611,0.002423931,0.003242628,0.005453205,0.008472009,0.012435898,1,0.013694763,0.001254082,95279.5,79.23452759,1.000001907,1.785002708,-1.490521431,283.9772949,6971409,9399097,8908537,0,6.41E-05,66.26,55.24,66.26,-609,1,11.02,0,11.02,65.39346313,0.641857326,7.372952938,0.742324889,0.799491628
5/30/2018 19:00,19,0,0.000161538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-05,3.21E-05,0.000266667,1,0.020149231,0.006489754,95295,81.66552734,0.999998748,1.278794289,-1.746917725,283.5864258,6971409,10476947,8908537,0,0,66.81,66.81,66.81,-199,1,0,0,0,65.68202972,0.657071531,8.22372818,0.751350224,0.805520132
